datetime,open,close,high,low,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
2020-01-31 00:00:00,184.71,183.42,185.82,181.65,58562.18072,10764492.6342283,23702,28946.59604,5321106.1081132
2020-01-31 04:00:00,183.42,182.48,183.67,180.52,57440.54327,10468359.0684765,24676,27389.62264,4992023.3891116
2020-01-31 08:00:00,182.47,180.9,183.58,180.25,62903.84299,11435763.3713564,25686,28739.21974,5226096.134528
2020-01-31 12:00:00,180.86,180.04,180.88,175.22,117421.47775,20912540.6471827,41233,53410.01236,9514358.6798469
2020-01-31 16:00:00,180.01,179.41,180.63,177.53,49406.8051,8849786.7177238,21783,24116.90957,4319741.9272657
2020-01-31 20:00:00,179.41,179.99,182.44,179.21,39861.68382,7202109.8436715,20517,20187.5187,3648011.7172457
2020-02-01 00:00:00,179.94,183.51,184.28,179.23,54651.82918,9979551.8085582,24677,26895.94183,4911793.3118216
2020-02-01 04:00:00,183.46,183.13,183.94,181.46,38692.35102,7064732.5551901,17801,19341.59919,3532970.568548
2020-02-01 08:00:00,183.13,180.94,183.32,179.8,56658.17802,10258488.2756423,24427,25559.74831,4627801.0026138
2020-02-01 12:00:00,180.92,181.48,182.65,179.81,43155.44123,7830745.8305591,21912,20523.46809,3725018.9842424
2020-02-01 16:00:00,181.48,182.81,183.9,181.32,41070.25286,7520518.0983977,20420,17844.66457,3267497.3114145
2020-02-01 20:00:00,182.81,183.6,184.19,182.23,25142.07671,4609141.4984349,14912,15379.3651,2819856.8674159
2020-02-02 00:00:00,183.63,180.58,183.68,179.81,48773.49333,8839128.4165007,23871,22067.1248,3998201.8460833
2020-02-02 04:00:00,180.58,187.17,188.02,179.1,128164.63674,23679233.9380935,48582,65551.48851,12104266.5565418
2020-02-02 08:00:00,187.17,191.71,192.25,186.26,125475.67866,23776958.7582007,46043,65781.96045,12459491.079833
2020-02-02 12:00:00,191.76,192.49,193.43,189.48,120538.08302,23072336.3782756,42633,60977.60854,11675633.6496674
2020-02-02 16:00:00,192.47,191.5,193.23,190.36,58535.50907,11227583.64912,27986,30129.27926,5780328.3450548
2020-02-02 20:00:00,191.56,188.44,192.5,188.04,71133.73537,13510372.4185946,33310,35740.5728,6789706.3266352
2020-02-03 00:00:00,188.48,191.39,195.19,187.21,137679.79387,26376612.8915895,51437,70489.65452,13509584.6778357
2020-02-03 04:00:00,191.39,190.04,192.11,189.5,45720.21456,8733497.1055888,22816,23449.29934,4480109.2574806
2020-02-03 08:00:00,190.04,189.84,190.81,187.68,59631.56507,11285096.6340912,29781,28899.32046,5469939.613877
2020-02-03 12:00:00,189.84,187.58,191.5,187.42,73483.30728,13899214.4586684,31309,38223.16278,7231880.5659121
2020-02-03 16:00:00,187.59,190.17,190.24,186.62,60438.68613,11393493.2230025,26012,31873.84414,6009575.3367963
2020-02-03 20:00:00,190.2,189.69,191.8,188.13,40222.3909,7648398.2117519,20371,20933.43284,3980458.7945312
2020-02-04 00:00:00,189.74,188.04,191.6,188.0,49106.57764,9326998.5894334,25645,24833.57393,4717672.1463708
2020-02-04 04:00:00,188.08,188.28,189.13,186.18,64796.78527,12168912.8600193,28916,30981.70981,5820123.622392
2020-02-04 08:00:00,188.28,186.91,188.48,184.69,106400.75682,19836423.2046078,37502,47102.96052,8789206.1999032
2020-02-04 12:00:00,186.87,188.37,188.85,184.77,77373.10437,14432953.9634561,33008,38277.06594,7137701.6500366
2020-02-04 16:00:00,188.37,187.92,189.8,187.77,42882.4712,8093582.4143808,27641,20466.252,3862809.6344788
2020-02-04 20:00:00,187.93,188.91,189.52,186.9,25830.00156,4861961.5833963,20641,13114.67973,2468016.4003037
2020-02-05 00:00:00,188.91,189.86,190.28,188.19,43892.82413,8308605.3246074,25589,22867.07663,4329485.9203896
2020-02-05 04:00:00,189.85,190.87,192.17,189.1,77581.19475,14809681.7718939,33114,46442.19965,8867955.5631644
2020-02-05 08:00:00,190.83,197.53,197.89,190.29,111749.90942,21703986.1072506,43987,57643.63086,11195696.0866687
2020-02-05 12:00:00,197.57,198.86,199.22,195.61,113315.40994,22363634.5590979,43745,55794.44095,11015010.2953819
2020-02-05 16:00:00,198.86,202.02,204.93,198.3,133532.36441,26946650.5498201,57113,73551.95469,14836036.0327001
2020-02-05 20:00:00,202.03,203.78,207.61,202.0,70870.41152,14526800.2232487,37867,34964.94498,7166614.4263246
2020-02-06 00:00:00,203.78,206.53,206.6,201.02,71578.25124,14566357.5887851,33695,33791.67892,6878456.9980303
2020-02-06 04:00:00,206.59,209.26,212.06,204.81,93539.61062,19438125.8415232,42581,48491.88,10074878.5002515
2020-02-06 08:00:00,209.28,210.41,210.99,207.6,101681.88016,21305769.9129404,48844,52822.78625,11068631.1270779
2020-02-06 12:00:00,210.38,212.41,216.33,205.19,220569.02835,46838289.0404778,86698,107662.29429,22875170.6532782
2020-02-06 16:00:00,212.4,211.83,214.33,210.86,73276.42712,15588945.5179552,34097,38336.97441,8155008.1046867
2020-02-06 20:00:00,211.83,213.19,214.26,211.15,47595.02581,10136732.9130051,30281,21665.4129,4616963.7409365
2020-02-07 00:00:00,213.16,217.2,221.0,213.14,145747.50115,31849049.5636498,59913,77211.17165,16880754.8748398
2020-02-07 04:00:00,217.2,218.96,219.57,216.11,80040.46875,17451164.1169702,37860,43507.41338,9487501.3435013
2020-02-07 08:00:00,218.93,220.4,225.0,217.6,149906.76239,33183754.9127682,59576,67829.58123,15011817.5657321
2020-02-07 12:00:00,220.38,221.59,223.9,217.81,130618.13914,28804101.8691986,53610,64467.63338,14210894.8256858
2020-02-07 16:00:00,221.61,221.41,222.97,219.63,62845.72632,13927897.8126333,29877,29654.63593,6571941.5798962
2020-02-07 20:00:00,221.48,223.33,224.26,218.64,60202.55691,13308835.9423558,27438,30455.47073,6735469.0886135
2020-02-08 00:00:00,223.36,217.32,224.6,213.22,136212.72486,29765880.50091,61711,66770.32508,14586168.1417083
2020-02-08 04:00:00,217.35,220.45,221.78,217.15,82036.95602,18036953.2359074,34937,40754.61433,8959088.7115561
2020-02-08 08:00:00,220.42,226.18,227.61,220.39,141140.07403,31729061.858493,58111,77689.19035,17459611.8743676
2020-02-08 12:00:00,226.24,225.1,227.75,223.57,91104.23714,20587660.5679461,45978,46331.62166,10472020.8989744
2020-02-08 16:00:00,225.07,224.8,225.98,222.12,60574.39994,13575785.4447558,33465,27871.00902,6248296.4373252
2020-02-08 20:00:00,224.8,223.05,224.9,222.0,37483.48266,8374166.0470993,23079,18009.50165,4024804.1561092
2020-02-09 00:00:00,223.01,228.53,228.63,222.86,65802.67689,14916311.7552694,28813,34190.25087,7748134.2510563
2020-02-09 04:00:00,228.56,229.66,230.65,226.41,66800.45707,15259454.585026,35709,34745.09779,7939227.6859872
2020-02-09 08:00:00,229.66,228.1,230.18,226.82,61443.20077,14049820.5977132,33655,30054.34216,6872721.7177654
2020-02-09 12:00:00,228.1,226.84,229.13,224.0,69067.39436,15661724.0172031,34352,30733.82459,6973501.5994736
2020-02-09 16:00:00,226.83,226.76,228.36,225.68,45515.02971,10334408.9781695,26002,23832.28253,5412294.0856186
2020-02-09 20:00:00,226.78,228.49,228.85,224.19,41707.48519,9452927.0668187,25204,18967.22461,4303566.0596462
2020-02-10 00:00:00,228.53,225.41,229.4,224.72,55990.25632,12709847.2230573,28061,29184.83985,6627943.9671415
2020-02-10 04:00:00,225.41,223.64,225.76,218.69,112606.12951,25107380.8263266,51476,53497.79412,11931004.8381448
2020-02-10 08:00:00,223.64,218.65,223.87,216.37,132720.69457,29115040.8549895,57276,64840.34603,14229319.1631484
2020-02-10 12:00:00,218.58,223.34,225.12,217.6,101616.86497,22530360.8730443,40743,51543.8732,11433025.8689683
2020-02-10 16:00:00,223.34,220.9,224.15,220.28,64952.49467,14440770.4070192,31162,32565.92296,7240252.9339065
2020-02-10 20:00:00,220.91,222.89,225.0,220.91,42529.05945,9481888.7658648,23899,23942.67391,5339200.4338475
2020-02-11 00:00:00,222.89,219.03,223.53,218.38,71490.74057,15742141.5370268,30627,33717.11445,7425867.2167645
2020-02-11 04:00:00,219.0,218.61,220.74,218.17,46810.28383,10263526.3812079,23328,24438.8497,5357585.5907819
2020-02-11 08:00:00,218.62,222.6,222.8,218.23,62363.61085,13775362.016651,27972,34570.15349,7633500.772937
2020-02-11 12:00:00,222.6,228.8,230.49,222.0,149471.10515,33789716.4196484,53671,79241.19064,17921682.4687703
2020-02-11 16:00:00,228.82,238.09,239.15,227.8,204134.85333,47766738.1113344,82740,109263.8955,25577274.3227013
2020-02-11 20:00:00,238.12,236.69,238.75,235.1,61306.30903,14526444.1584373,31903,28670.10492,6794955.8565234
2020-02-12 00:00:00,236.69,244.22,247.5,236.69,144367.76531,35154895.5914372,60029,77505.19259,18857331.4329932
2020-02-12 04:00:00,244.2,253.27,256.83,244.07,151167.56184,37769576.4375983,59166,77960.70084,19470362.0460219
2020-02-12 08:00:00,253.23,255.61,257.9,249.25,182007.52923,46123220.7062535,67503,83970.28278,21284655.4673689
2020-02-12 12:00:00,255.61,254.25,257.99,251.3,134534.684,34273786.6391245,55713,67095.36516,17099116.7339361
2020-02-12 16:00:00,254.24,265.31,267.0,253.39,194244.53575,51085610.4004855,78176,99352.14205,26116919.1106479
2020-02-12 20:00:00,265.31,265.74,275.34,262.0,231751.67169,62327206.7753983,94729,115498.4374,31087723.2252411
2020-02-13 00:00:00,265.74,269.03,274.48,265.0,174082.02905,47220699.8975825,69609,87284.76583,23676223.9620024
2020-02-13 04:00:00,269.11,266.27,273.73,265.27,118270.86243,31993122.6469289,53441,58985.34688,15964991.9361078
2020-02-13 08:00:00,266.25,262.82,268.31,256.08,299876.81901,78288920.5748681,108459,146284.6188,38195006.7873379
2020-02-13 12:00:00,262.81,270.4,277.69,261.25,325943.86843,88166267.3666544,110585,161886.61508,43775708.5052776
2020-02-13 16:00:00,270.54,269.04,272.5,264.23,108262.29252,29043166.3382242,44488,53829.1284,14441968.0256498
2020-02-13 20:00:00,269.08,268.32,269.5,262.5,63243.28226,16820979.2674373,35426,31119.12244,8276641.5224953
2020-02-14 00:00:00,268.34,266.76,270.12,264.0,81264.59311,21731492.9528981,36191,41304.15663,11052368.1753258
2020-02-14 04:00:00,266.64,262.86,270.15,260.28,96150.18017,25440595.9851112,43139,51912.45414,13742092.6701019
2020-02-14 08:00:00,262.77,270.95,273.08,262.26,128975.66717,34702617.9328538,52181,66910.78955,18006408.7970893
2020-02-14 12:00:00,270.94,272.91,275.0,269.0,119470.30502,32513075.1694202,50835,62198.4424,16930352.0182966
2020-02-14 16:00:00,272.9,282.5,285.0,272.17,217970.53675,60932800.6304394,82269,110555.66677,30908156.9290408
2020-02-14 20:00:00,282.45,285.15,287.15,280.59,91113.04044,25799841.9124974,44407,47822.27605,13544759.8493848
2020-02-15 00:00:00,285.11,282.1,288.41,277.71,129342.90257,36620350.1868082,57459,64464.92281,18249013.3938009
2020-02-15 04:00:00,282.18,279.48,282.57,277.58,74906.05796,20975360.3838432,35308,37519.88684,10508972.5984564
2020-02-15 08:00:00,279.4,281.54,285.5,279.0,78870.33496,22271238.2444126,37709,40763.69974,11515775.5906851
2020-02-15 12:00:00,281.54,274.06,283.65,267.67,154904.32335,42990987.5466753,60477,70621.99407,19594012.8149623
2020-02-15 16:00:00,274.05,266.63,279.3,261.86,359399.50455,96532095.0368431,123962,177808.87544,47758432.1387724
2020-02-15 20:00:00,266.63,264.88,269.35,262.73,63390.01935,16897069.7000947,34019,28613.8324,7628596.9739062
2020-02-16 00:00:00,264.91,271.3,274.0,257.24,122412.27348,32698727.8473873,53250,59062.33221,15786013.0464864
2020-02-16 04:00:00,271.3,270.25,273.8,268.3,67791.80238,18367140.2314955,35757,30024.96709,8137659.1479832
2020-02-16 08:00:00,270.24,265.98,272.99,265.9,87206.46313,23483163.9582218,46518,44813.22739,12071075.3295416
2020-02-16 12:00:00,265.89,258.83,268.24,256.06,223257.29407,58605781.2697332,82180,103635.79825,27218631.7682733
2020-02-16 16:00:00,258.84,249.76,262.44,237.41,470643.49876,117518460.5990006,143946,220524.65705,55083630.554282
2020-02-16 20:00:00,249.75,258.85,263.3,248.56,138807.13213,35595892.3755985,54431,68932.07966,17677864.927614
2020-02-17 00:00:00,258.89,249.48,261.5,246.23,144650.01266,36697000.4354196,57863,74356.33792,18866421.1038408
2020-02-17 04:00:00,249.43,248.64,253.74,242.0,187172.23265,46412428.0599539,66927,89606.33199,22208130.2738574
