Trade_ID,Direction,Entry_Time,Exit_Time,Hold_Bars,Entry_Price,Exit_Price,Exit_Reason,PnL_Percent,MFE_Percent
43,Long,2023-03-17 13:00:00,2023-03-18 14:00:00,25,26283.0,27226.23,Fast_MA_Exit,3.5887,5.1155
44,Long,2023-03-18 21:00:00,2023-03-18 22:00:00,1,26910.45,26907.49,Fast_MA_Exit,-0.011,0.0
45,Long,2023-03-19 00:00:00,2023-03-19 01:00:00,1,27104.91,27116.07,Fast_MA_Exit,0.0412,0.0412
46,Long,2023-03-19 05:00:00,2023-03-19 06:00:00,1,26934.96,26974.81,Fast_MA_Exit,0.1479,0.1479
47,Long,2023-03-19 08:00:00,2023-03-19 09:00:00,1,27043.27,27052.8,Fast_MA_Exit,0.0352,0.0352
48,Long,2023-03-29 09:00:00,2023-03-29 17:00:00,8,28382.23,28316.13,Time_Exit,-0.2329,0.2134
49,Long,2023-03-29 21:00:00,2023-03-30 02:00:00,5,28389.41,28489.18,Trailing_Stop,0.3514,2.0266
50,Long,2023-03-30 17:00:00,2023-03-30 18:00:00,1,27903.69,27986.09,Fast_MA_Exit,0.2953,0.2953
51,Long,2023-03-30 22:00:00,2023-03-30 23:00:00,1,28028.53,28249.17,Fast_MA_Exit,0.7872,0.7872
52,Long,2023-04-10 16:00:00,2023-04-10 23:00:00,7,29160.0,29928.86,TP_Hit,2.6367,2.6367
53,Long,2023-04-10 16:00:00,2023-04-12 01:00:00,33,29160.0,29916.16,Fast_MA_Exit,2.5931,3.7852
54,Long,2023-04-12 04:00:00,2023-04-12 05:00:00,1,29920.0,29932.89,Fast_MA_Exit,0.0431,0.0431
55,Long,2023-04-12 08:00:00,2023-04-12 09:00:00,1,30007.68,29996.27,Fast_MA_Exit,-0.038,0.0
56,Long,2023-04-14 00:00:00,2023-04-14 08:00:00,8,30775.34,30794.16,Time_Exit,0.0612,0.5444
57,Long,2023-04-14 13:00:00,2023-04-14 14:00:00,1,30599.89,30237.89,Trailing_Stop,-1.183,0.0
58,Long,2023-04-18 11:00:00,2023-04-18 16:00:00,5,30303.14,30025.51,Trailing_Stop,-0.9162,0.258
59,Long,2023-04-26 03:00:00,2023-04-26 05:00:00,2,28328.94,28395.01,Signal_Exit,0.2332,0.2341
60,Long,2023-04-26 13:00:00,2023-04-26 18:00:00,5,29700.22,27884.24,SL_Hit,-6.1144,0.4034
61,Long,2023-05-28 22:00:00,2023-05-29 06:00:00,8,28065.0,27907.87,Time_Exit,-0.5599,0.4544
62,Long,2023-05-29 12:00:00,2023-05-29 13:00:00,1,27903.12,27787.77,Fast_MA_Exit,-0.4134,0.0
63,Long,2023-05-29 18:00:00,2023-05-29 19:00:00,1,27637.94,27682.77,Fast_MA_Exit,0.1622,0.1622
64,Long,2023-06-06 18:00:00,2023-06-07 02:00:00,8,27080.13,26909.01,Time_Exit,-0.6319,0.5537
65,Long,2023-06-07 04:00:00,2023-06-07 08:00:00,4,26912.99,26486.28,Fast_MA_Exit,-1.5855,0.0
66,Long,2023-06-07 10:00:00,2023-06-07 11:00:00,1,26896.14,26802.35,Fast_MA_Exit,-0.3487,0.0
67,Long,2023-06-20 08:00:00,2023-06-20 13:00:00,5,26780.56,26780.0,Fast_MA_Exit,-0.0021,0.4758
68,Long,2023-06-20 17:00:00,2023-06-21 04:00:00,11,28070.54,28982.02,TP_Hit,3.2471,3.2471
69,Long,2023-06-20 17:00:00,2023-06-22 10:00:00,41,28070.54,29928.0,Fast_MA_Exit,6.6171,8.5555
70,Long,2023-06-22 14:00:00,2023-06-22 15:00:00,1,29850.65,29970.02,Fast_MA_Exit,0.3999,0.3999
71,Long,2023-06-22 22:00:00,2023-06-22 23:00:00,1,29884.92,30010.0,Fast_MA_Exit,0.4185,0.4185
72,Long,2023-06-23 01:00:00,2023-06-23 02:00:00,1,29984.91,30007.96,Fast_MA_Exit,0.0769,0.0769
73,Long,2023-07-06 08:00:00,2023-07-06 09:00:00,1,31069.6,31231.64,Signal_Exit,0.5215,0.5215
74,Long,2023-07-13 19:00:00,2023-07-14 00:00:00,5,31372.91,31418.88,Signal_Exit,0.1465,0.2592
75,Long,2023-08-01 17:00:00,2023-08-01 23:00:00,6,29272.0,29822.03,TP_Hit,1.879,1.879
76,Long,2023-08-01 17:00:00,2023-08-02 07:00:00,14,29272.0,29489.55,Trailing_Stop,0.7432,1.9571
77,Long,2023-08-08 16:00:00,2023-08-08 20:00:00,4,29808.56,29854.98,Signal_Exit,0.1557,0.5751
78,Long,2023-08-09 19:00:00,2023-08-09 20:00:00,1,29500.33,29526.89,Fast_MA_Exit,0.09,0.09
79,Long,2023-08-29 16:00:00,2023-08-29 19:00:00,3,27892.07,27569.28,Trailing_Stop,-1.1573,0.2858
80,Long,2023-08-29 21:00:00,2023-08-30 05:00:00,8,27638.28,27382.21,Time_Exit,-0.9265,0.2824
81,Long,2023-08-30 07:00:00,2023-08-30 08:00:00,1,27470.98,27426.8,Fast_MA_Exit,-0.1608,0.0
82,Long,2023-08-30 14:00:00,2023-08-30 15:00:00,1,27201.63,27155.37,Fast_MA_Exit,-0.1701,0.0
83,Long,2023-08-30 17:00:00,2023-08-30 18:00:00,1,27279.98,27178.28,Fast_MA_Exit,-0.3728,0.0
84,Long,2023-09-08 11:00:00,2023-09-08 12:00:00,1,25854.03,25887.46,Fast_MA_Exit,0.1293,0.1293
85,Long,2023-09-12 17:00:00,2023-09-12 21:00:00,4,25980.28,25970.01,Signal_Exit,-0.0395,0.4723
86,Long,2023-09-12 23:00:00,2023-09-13 00:00:00,1,25919.51,25957.47,Fast_MA_Exit,0.1465,0.1465
87,Long,2023-09-15 14:00:00,2023-09-15 15:00:00,1,26321.21,26379.97,Fast_MA_Exit,0.2232,0.2232
88,Long,2023-09-18 10:00:00,2023-09-18 14:00:00,4,27196.98,27269.42,Signal_Exit,0.2664,0.6411
89,Long,2023-09-28 15:00:00,2023-09-28 18:00:00,3,27059.99,27100.0,Signal_Exit,0.1479,0.3701
90,Long,2023-10-02 18:00:00,2023-10-02 19:00:00,1,27964.99,27843.68,Fast_MA_Exit,-0.4338,0.0
91,Long,2023-10-02 21:00:00,2023-10-02 22:00:00,1,27554.56,27494.51,Fast_MA_Exit,-0.2179,0.0
92,Long,2023-10-03 00:00:00,2023-10-03 01:00:00,1,27563.32,27584.2,Fast_MA_Exit,0.0757,0.0757
93,Long,2023-10-03 13:00:00,2023-10-03 14:00:00,1,27350.59,27345.0,Fast_MA_Exit,-0.0204,0.0
94,Long,2023-10-03 16:00:00,2023-10-03 17:00:00,1,27435.4,27300.48,Fast_MA_Exit,-0.4918,0.0
95,Long,2023-10-03 19:00:00,2023-10-03 20:00:00,1,27394.25,27400.06,Fast_MA_Exit,0.0212,0.0212
96,Long,2023-10-05 03:00:00,2023-10-05 06:00:00,3,27692.91,27607.98,Fast_MA_Exit,-0.3067,0.0
97,Long,2023-10-16 05:00:00,2023-10-16 06:00:00,1,27812.61,27849.06,Signal_Exit,0.1311,0.1311
98,Long,2023-10-17 00:00:00,2023-10-17 08:00:00,8,28350.0,28446.79,Time_Exit,0.3414,0.3414
99,Long,2023-10-17 12:00:00,2023-10-17 14:00:00,2,28291.83,28461.72,Signal_Exit,0.6005,0.6106
100,Long,2023-10-18 09:00:00,2023-10-18 10:00:00,1,28374.12,28340.64,Fast_MA_Exit,-0.118,0.0
101,Long,2023-10-20 00:00:00,2023-10-20 03:00:00,3,28659.5,29318.54,TP_Hit,2.2995,2.2995
102,Long,2023-10-20 00:00:00,2023-10-21 00:00:00,24,28659.5,29533.88,Fast_MA_Exit,3.0509,4.154
103,Long,2023-10-23 22:00:00,2023-10-24 14:00:00,16,33069.99,33668.9,Fast_MA_Exit,1.811,4.5552
104,Long,2023-10-24 16:00:00,2023-10-24 17:00:00,1,33786.34,33854.88,Fast_MA_Exit,0.2029,0.2029
105,Long,2023-10-24 19:00:00,2023-10-24 20:00:00,1,33659.52,34125.67,Fast_MA_Exit,1.3849,1.3849
106,Long,2023-10-26 17:00:00,2023-10-26 18:00:00,1,33978.62,34044.02,Fast_MA_Exit,0.1925,0.1925
107,Long,2023-10-27 17:00:00,2023-10-27 18:00:00,1,33595.62,33698.54,Fast_MA_Exit,0.3063,0.3063
108,Long,2023-11-08 05:00:00,2023-11-08 13:00:00,8,35274.14,35310.34,Fast_MA_Exit,0.1026,0.3851
